epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.2647877669137739,0.2698801794877419,89.8360260429226,90.26036644165865
2,0.1919046072809739,0.1445035117320143,92.92259464673258,94.6480231436837
3,0.0790018791901234,0.1100719136109826,97.19676874849289,96.33558341369334
4,0.0551665555936982,0.1048358300727648,98.0106100795756,96.43201542912249
5,0.0388928561148456,0.0861305017928736,98.62551241861588,96.91417550626808
6,0.0371697800856299,0.1247345247645101,98.59537014709429,96.33558341369334
7,0.0228621272775037,0.09089928575525,99.14395948878708,97.25168756027
8,0.0256796582710585,0.1466766736411955,99.01736194839644,96.8900675024108
9,0.0286687205337054,0.1082445571042346,98.9631058596576,96.67309546769528
10,0.018107897373183,0.0907488557404856,99.38509766095972,97.54098360655738
