epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6109501431954589,75.18429211160868,0.31846724496204026,85.9807073954984
2,0.28830011710852776,88.52910781949707,0.16226411775248695,92.79742765273312
3,0.09610708187527069,96.30037891836032,0.11327500183287324,95.14469453376206
4,0.03149069593460319,98.9114708921805,0.08572237412160148,96.72025723472669
5,0.008084253497762268,99.80020668274199,0.06826653736477185,97.49196141479099
6,0.004791595573698085,99.84843265587324,0.06681951602067969,97.58842443729904
7,0.0029444111327000685,99.95177402686876,0.07030983918779458,97.65273311897106
8,0.006081217912354994,99.8208749569411,0.15935402879418986,95.56270096463022
9,0.09166616930765827,96.52084050981743,0.1674573061541103,94.95176848874598
10,0.07181540688926494,97.27178780571822,0.12961721617481387,95.2411575562701
